name,max_features,ngram_range,min_df,max_df,C,solver,accuracy,hamming_loss,macro_f1,micro_f1,macro_precision,macro_recall,train_time,vocab_size
C_5.0,2000,"(1, 2)",2,0.95,5.0,liblinear,0.9256559766763849,0.012494793835901708,0.9617139425863489,0.9612403100775194,0.9884631423394907,0.9371134846012813,0.08053898811340332,1551
C_2.0,2000,"(1, 2)",2,0.95,2.0,liblinear,0.8629737609329446,0.022282382340691378,0.9287066242028591,0.9285237140948563,0.990515218628184,0.8748338753065854,0.05136370658874512,1551
best_1,2500,"(1, 2)",2,0.9,2.0,liblinear,0.8629737609329446,0.022282382340691378,0.9287066242028591,0.9285237140948563,0.990515218628184,0.8748338753065854,0.052016258239746094,1551
best_3,2000,"(1, 3)",2,0.9,2.0,liblinear,0.8600583090379009,0.022698875468554768,0.9270096713365329,0.9270903010033444,0.9904914328901125,0.8718461937474753,0.05913710594177246,1818
best_2,3000,"(1, 2)",2,0.9,1.5,liblinear,0.8046647230320699,0.03165347771761766,0.8920139741907166,0.8951724137931034,0.9910842352702819,0.8134437558375348,0.05289721488952637,1551
mf_500,500,"(1, 2)",2,0.95,1.0,liblinear,0.750728862973761,0.03998334027488547,0.8625096083492159,0.8642149929278642,0.9884423275937263,0.7690456190063587,0.04879474639892578,500
ngram_1_1,2000,"(1, 1)",2,0.95,1.0,liblinear,0.7580174927113703,0.04019158683881716,0.8610290362161276,0.8632175761871014,0.9896691769714374,0.7657957979316005,0.039258480072021484,624
baseline,1000,"(1, 2)",2,0.95,1.0,liblinear,0.7419825072886297,0.0424822990420658,0.8510393962274047,0.8540772532188842,0.9906891853646582,0.7506236190991322,0.05117011070251465,1000
min_df_3,2000,"(1, 2)",3,0.95,1.0,liblinear,0.7434402332361516,0.0424822990420658,0.8510185948251091,0.8540772532188842,0.9907230484674214,0.7507125112803241,0.04951310157775879,1073
mf_1500,1500,"(1, 2)",2,0.95,1.0,liblinear,0.7346938775510204,0.04352353186172428,0.8459762838955386,0.8497483824586628,0.9917554667554668,0.7420531858955083,0.050041913986206055,1500
solver_saga,2000,"(1, 2)",2,0.95,1.0,saga,0.7332361516034985,0.043731778425655975,0.8452784711381486,0.8489208633093526,0.9917554667554668,0.7408822257081547,0.1060338020324707,1551
mf_4000,4000,"(1, 2)",2,0.95,1.0,liblinear,0.7317784256559767,0.04394002498958767,0.8446129519184125,0.8480921526277898,0.9917554667554668,0.7398970040332778,0.04975700378417969,1551
mf_2000,2000,"(1, 2)",2,0.95,1.0,liblinear,0.7317784256559767,0.04394002498958767,0.8446129519184125,0.8480921526277898,0.9917554667554668,0.7398970040332778,0.04968667030334473,1551
mf_3000,3000,"(1, 2)",2,0.95,1.0,liblinear,0.7317784256559767,0.04394002498958767,0.8446129519184125,0.8480921526277898,0.9917554667554668,0.7398970040332778,0.04996919631958008,1551
mf_5000,5000,"(1, 2)",2,0.95,1.0,liblinear,0.7317784256559767,0.04394002498958767,0.8446129519184125,0.8480921526277898,0.9917554667554668,0.7398970040332778,0.049471378326416016,1551
max_df_0.85,2000,"(1, 2)",2,0.85,1.0,liblinear,0.7317784256559767,0.04394002498958767,0.8446129519184125,0.8480921526277898,0.9917554667554668,0.7398970040332778,0.05003809928894043,1551
max_df_0.90,2000,"(1, 2)",2,0.9,1.0,liblinear,0.7317784256559767,0.04394002498958767,0.8446129519184125,0.8480921526277898,0.9917554667554668,0.7398970040332778,0.04960918426513672,1551
ngram_1_3,2000,"(1, 3)",2,0.95,1.0,liblinear,0.7317784256559767,0.04394002498958767,0.8446129519184125,0.8480921526277898,0.9917554667554668,0.7398970040332778,0.057820796966552734,1818
solver_lbfgs,2000,"(1, 2)",2,0.95,1.0,lbfgs,0.7259475218658892,0.04477301124531445,0.841851176362647,0.8447653429602888,0.9917554667554668,0.7355846403088169,0.10369610786437988,1551
min_df_1,2000,"(1, 2)",1,0.95,1.0,liblinear,0.7244897959183674,0.045397750937109536,0.8393626389004554,0.8420289855072464,0.992982546553975,0.7308208971831621,0.051915884017944336,2000
C_0.5,2000,"(1, 2)",2,0.95,0.5,liblinear,0.5466472303206997,0.07663473552686381,0.6944112064978863,0.7003257328990228,0.9931117608333656,0.5393994608031856,0.04846453666687012,1551
C_0.1,2000,"(1, 2)",2,0.95,0.1,liblinear,0.05393586005830904,0.1576426488962932,0.08321868259982024,0.09123649459783914,0.8571428571428571,0.04466420610273771,0.04510092735290527,1551
