name,address,rating,user_ratings_total,place_id,types,taluka,latitude,longitude,,
Hivrem Waterfall,"J4WX+HQ6, Ivre Khurd, Goa 403506, India",4.5,128,ChIJqX88uZWevzsRlLG09dvS3nY,"tourist_attraction, point_of_interest, establishment,waterfall,nature,adventure,trek",Sattari (Valpoi),15.6464111,74.1493889,,
Adil Shah Palace Gateway,"Near Divar Jetty Old Goa, Mandrem, Goa 403402, India",4.1,167,ChIJrUMKXou-vzsRG2SLL5cWces,"tourist_attraction, point_of_interest, establishment,historical",Salcete (Margao),15.5056312,73.9140955,,
Dona Paula Jetty Goa,"Dona Paula Jetty, Panaji, Goa 403004, India",4.3,85,ChIJNdY4U7nHvzsRfURbu9Uwoq4,"tourist_attraction, point_of_interest, establishment,viewpoint",Tiswadi (Panaji),15.4505614,73.8036167,,
KA-GO Border Beach,"W32M+PVH, Loliem, Goa 403728, India",4.6,66,ChIJl9-1rQtdvjsREn9dtrSRftE,"tourist_attraction, point_of_interest, establishment,beach",Canacona,14.901806,74.0847427,,
Kuske Waterfall,"26C5+MFM, Cotigao, Goa 403702, India",4.4,295,ChIJodX_ocdZvjsR3ISyT9zV_zY,"tourist_attraction, point_of_interest, establishment,waterfall,nature,adventure,trek",Dharbandora,15.0217083,74.2086604,,
Official Dudhsagar Jeep Safari & Trek Booking,"Kulem Station FOB, Kolem, Goa 403410, India",4.4,1063,ChIJA1ETXxQHvzsRU7Nrm2PWCiA,"tourist_attraction, park, point_of_interest, establishment,waterfall,nature",Dharbandora,15.3363533,74.244316,,flag
"Calangute Beach, Goa","Calangute Beach Rd, Umtav Vado, Calangute, Goa 403516, India",4.3,100672,ChIJgQ9KpXTrvzsRccrngLKJ-bM,"tourist_attraction, point_of_interest, establishment,beach",Bardez (Mapusa),15.5447206,73.754669,,
Benaulim beach,"7W39+7X7, Benaulim, Goa 403716, India",4.6,476,ChIJK01FI2K1vzsRoVMmY1ivMpE,"tourist_attraction, point_of_interest, establishment,beach",Salcete (Margao),15.2531713,73.9199206,,
Aguada rocky Beach,"FQVH+43H, Goa 403001, India",4.3,501,ChIJk0OIhg7BvzsRy2mHWZCVDDY,"tourist_attraction, point_of_interest, establishment,beach",Bardez (Mapusa),15.4928118,73.7777471,,
Keri Beach,"PM6R+VQ5, Querim, Goa 403524, India",4.6,4445,ChIJ4ayK8NDvvzsR78k8dPh_ryw,"tourist_attraction, point_of_interest, establishment,beach",Pernem,15.7087743,73.6929842,,
"Kadamba Shri Mahadeva Temple, Tambdisurla","C7Q3+J27, Near Bhagwan Mahaveer Wildlife Sanctury, Sanguem, Surla, Goa 403406, India",4.8,5158,ChIJKTeIBk4IvzsRekHQksfEKkk,"hindu_temple, tourist_attraction, place_of_worship, point_of_interest, establishment,historical",Dharbandora,15.4390499,74.2525571,,
Dolphin Point,"Fort Aguada Rd, Aguada Fort Area, Candolim, Goa 403515, India",4.3,4270,ChIJ78Pnrg7BvzsRDdqimlbAw_c,"tourist_attraction, point_of_interest, establishment,viewpoint",Tiswadi (Panaji),15.4972198,73.781824,,
Aguad Port & Jail Complex,"Parking, Aguada Fort, Aguada - Siolim Rd, Aguada Fort Area, Candolim, Goa 403515, India",4.1,523,ChIJIdHV6h3BvzsRcWh-MTFt5S4,"tourist_attraction, art_gallery, museum, restaurant, food, point_of_interest, establishment",Bardez (Mapusa),15.4926341,73.7771255,,flag
Wax World Museum,"GW27+4G6, Old Goa, Goa 403402, India",3.4,1997,ChIJ751RXI2-vzsRLoDZRIDrQc4,"tourist_attraction, museum, point_of_interest, establishment",Salcete (Margao),15.5002895,73.9136885,,
Shiva's Face,"HPRM+XGJ Ozran Beach, Vagator, Goa 403509, India",4.3,1427,ChIJXZmiGnfpvzsRHiMVouy_NnE,"tourist_attraction, point_of_interest, establishment,viewpoint",Bardez (Mapusa),15.5924547,73.7337776,,
Vagator beach Goa india,"Vagator, Anjuna, Goa 403509, India",4.4,30,ChIJj20T8_3pvzsRxe68CHW8xFw,"tourist_attraction, point_of_interest, establishment,beach",Bardez (Mapusa),15.587991,73.7345501,,
"Viceroys Arch, Goa","Old Goa, Goa 403402, India",4.4,1143,ChIJrRLnXou-vzsRTmy-Yn5wi5A,"tourist_attraction, point_of_interest, establishment,historical",Salcete (Margao),15.5057585,73.9137064,,
Archaeological Museum of Goa,"GW36+797, behind Se Cathedral, Old Goa, Goa 403402, India",4.3,935,ChIJkRYoGPO-vzsRJtAbk3TQPEc,"tourist_attraction, museum, point_of_interest, establishment,historical",Salcete (Margao),15.503157,73.9109342,,
Vagator Beach View,"HPXM+Q9F, Vagator, Goa 403509, India",4.5,1852,ChIJc5ouLHDpvzsR9nHjejLY4e4,"tourist_attraction, point_of_interest, establishment,beach,viewpoint",Bardez (Mapusa),15.5994407,73.7334125,,
Mystic Woods,"C2G6+Q47, Ponda, Pisgal, Priol, Goa 403404, India",3.8,608,ChIJI2vEMie7vzsRj6GD15iAWac,"tourist_attraction, museum, park, point_of_interest, establishment,nature",Ponda,15.4295587,74.0124491,,
Tambdi Surla Waterfalls,"Surla, Goa 403406, India",4.6,460,ChIJBaXfv4oIvzsRw_tzqN9h6gs,"tourist_attraction, park, point_of_interest, establishment,waterfall,nature",Dharbandora,15.4564974,74.2713281,,
Corjuem Fort,"Off, Road, Corjuem, Aldona, Goa 403508, India",3.9,1078,ChIJi420u6uVvzsRqLpaRPrq6SI,"tourist_attraction, point_of_interest, establishment,historical,fort",Bicholim,15.5968001,73.8927884,,
Salaulim Dam,"Kurdi, Ugem, Goa 403704, India",4.5,3800,ChIJh8I8MtOqvzsRWk2SI90FBNg,"tourist_attraction, point_of_interest, establishment,viewpoint,nature",Salcete (Margao),15.2127043,74.1788677,,
Uddo Beach,"JQC2+2F, Unnamed Road, 403517, Kudal, Siolim, Goa 403517, India",4.2,714,ChIJzZriTOLrvzsR1b9GVIihz0g,"tourist_attraction, point_of_interest, establishment,beach",Pernem,15.6208175,73.7498994,,
Campal Gardens,"Children Park, Campal, Altinho, Panaji, Goa 403001, India",4.3,2333,ChIJZ7IctYzAvzsRGFUrmuUJx6s,"tourist_attraction, park, point_of_interest, establishment,nature,wildlife",Tiswadi (Panaji),15.49806,73.818748,,
Fontainhas,"Fontainhas (quarter), Altinho, Panaji, Goa 403001, India",4.1,2363,ChIJEfYjUmPBvzsRZ7HsUoMFXIk,"tourist_attraction, point_of_interest, establishment,viewpoint",Tiswadi (Panaji),15.4954147,73.8313473,,
Hill Top View,"HPQQ+76M, Anjuna, Goa 403509, India",4.6,293,ChIJH95_kILpvzsRLbVIxsa6fjE,"tourist_attraction, point_of_interest, establishment,viewpoint",Bardez (Mapusa),15.5882184,73.7380413,,
Cabo De Rama Viewpoint,"3WXG+5R4, Kola, Canaguinim, Goa 403703, India",4.7,2384,ChIJc2d68MRJvjsReKyUHo_dEfI,"tourist_attraction, point_of_interest, establishment,viewpoint",Canacona,15.0978987,73.9270714,,
Bambolim Beach,"CVX2+RQR, Bambolim, Goa 403206, India",4.2,109,ChIJb-oRWo25vzsRYL3u1Oyxe_M,"tourist_attraction, point_of_interest, establishment,beach",Tiswadi (Panaji),15.4496162,73.8518753,,
Fountainhas bridge art,"FRWJ+WV6, Patto Pedestrian Bridge, Rio de ourem footbridge, Pedastrian Bridge, patto, Rua de Ourém, Patto Centre, Panaji, Goa 403001, India",4.2,1024,ChIJYYST-QnBvzsRO28HncMNPV0,"tourist_attraction, point_of_interest, establishment,viewpoint",Tiswadi (Panaji),15.497275,73.8321352,,
Chapora mangroves kayaking,"MR2C+94R, Chikhli, Kolval, Goa 403513, India",4.5,255,ChIJd6DGs6DtvzsROx2-Sy8BmTg,"tourist_attraction, point_of_interest, establishment,nature,adventure",Pernem,15.6509894,73.8202621,,
Jalavne falls,"J5XV+FH4, Dongurvada, Surla, Goa 403506, India",4.5,269,ChIJbzpKjoafvzsRaCj_J0aPg9Y,"tourist_attraction, point_of_interest, establishment,waterfall,nature,adventure,trek",Sattari (Valpoi),15.6486329,74.1939471,,
Neturlem Waterfall (Savri),"366J+FQM, Neturlim, Netravli, Goa 403704, India",4.7,1142,ChIJ9WBFt234vjsR5aNM4Prx2cA,"tourist_attraction, park, point_of_interest, establishment,waterfall,nature",Dharbandora,15.0612063,74.2319242,,
Shivling Waterfall,"H4WF+W3J, Pali, Goa 403506, India",4.5,299,ChIJF3XWiNqZvzsReeuhhhUnApM,"tourist_attraction, point_of_interest, establishment,waterfall,nature,adventure,trek",Sattari (Valpoi),15.5973284,74.1226416,,
Fort Aguada Lighthouse,"FQRF+RJG, Aguada - Siolim Rd, Sinquerium, Candolim, Aguada Fort Area, Goa, Candolim, Goa 403515, India",4.3,2481,ChIJTbWbIA3BvzsR-QwVIsn68-Y,"tourist_attraction, point_of_interest, establishment,viewpoint",Bardez (Mapusa),15.4920574,73.7740664,,
Backwaters Palolem,"Canacona, Goa 403702, India",4.6,473,ChIJ60HZJlpFvjsRKWwSX-EWbsQ,"tourist_attraction, point_of_interest, establishment,viewpoint,nature",Canacona,15.0135625,74.0163125,,
Chorla Ghat,"J4X9+RHM, SH 4, Charavade, Goa 403506, India",4.4,2184,ChIJeeyaw02ZvzsRCmMjgEHRsCc,"tourist_attraction, park, point_of_interest, establishment,nature,wildlife",Sattari (Valpoi),15.6495989,74.1189133,,
Goa Chitra Museum,"H.No. 498, near Auxilium High School, Pulvaddo, Benaulim, Goa 403716, India",4.2,3069,ChIJ-5PLmPSzvzsRqBoUBZmqYm4,"tourist_attraction, art_gallery, museum, point_of_interest, establishment",Salcete (Margao),15.2648991,73.9413364,,
Monkey Beach,"CQ2R+5F9, Unnamed Road, Bogda, Headland Sada, Vasco Da Gama, Mormugao, Goa 403804, India",3.9,310,ChIJo1f9PInHvzsROGswlHitpMs,"tourist_attraction, point_of_interest, establishment,beach",Mormugao (Vasco),15.4004081,73.7912483,,
Church of St. Francis of Assisi,"Off National Highway 4, Old Goa, Goa 403402, India",4.5,4807,ChIJ78JjO_O-vzsRRzk9_PvVgE0,"tourist_attraction, church, place_of_worship, point_of_interest, establishment,religious,historical",Salcete (Margao),15.5030158,73.911237,,
"Snow Park, Goa","Titos Lane, 2, Calangute - Baga Rd, Baga, Goa 403516, India",4.2,18763,ChIJXVO8PxvqvzsRta823KYFYvE,"tourist_attraction, amusement_park, point_of_interest, establishment",Bardez (Mapusa),15.5574607,73.7552656,,
Museum Of Christian Art,"Monte Santo (Holy Hill, next to St. Augustine Tower, Old Goa, Goa 403402, India",4.4,437,ChIJAQAAAIO-vzsRAl-vdrBfS3U,"museum, tourist_attraction, point_of_interest, establishment",Salcete (Margao),15.5011002,73.9069769,,
Goa Science Centre & Planetarium,"Marine Highway, Miramar, Panaji, Goa 403001, India",4.3,953,ChIJdeIJ_cLAvzsRv6JHTO2XsUI,"tourist_attraction, museum, point_of_interest, establishment",Tiswadi (Panaji),15.4774432,73.8089382,,
"Shri Nageshi Temple,","Bandiwade, Donshiwado, Ponda, Bandiwada, Goa 403401, India",4.8,2812,ChIJ9Z288fW6vzsRiiAZ44P99zg,"hindu_temple, tourist_attraction, place_of_worship, point_of_interest, establishment,historical",Ponda,15.4074651,73.9837259,,
Naval Aviation Museum,"Bogmalo Road, Vasco Da Gama, Bogmalo, Goa 403806, India",4.6,7127,ChIJoW7X1f7HvzsRsbml_wpjpE4,"tourist_attraction, museum, point_of_interest, establishment",Salcete (Margao),15.3746494,73.8387763,,
Ambora Spring,"8XPQ+PH9, Loutolim, Goa 403718, India",4.2,245,ChIJ8YcmYFOwvzsRJ_P1iH_ckHE,"tourist_attraction, point_of_interest, establishment,nature,viewpoint",Salcete (Margao),15.3367963,73.9889898,,
Cola Beach,"Cola Beach Rd, Kola, Goa 403702, India",4.6,11157,ChIJN7gFSwNPvjsRikm58eoZL_U,"tourist_attraction, point_of_interest, establishment,beach",Canacona,15.0573292,73.9718316,,
Fernandes Heritage House,"Fort Area Salcette, Cotta Diasvaddo, Chandor, Guirdolim, Goa 403714, India",4.3,367,ChIJVd1h6pitvzsRpMu8Fjh2Paw,"tourist_attraction, point_of_interest, establishment",Sanguem,15.2558395,74.0518574,,flag
Splashdown Waterpark,"Calangute-Anjuna Main Road, Padre Agnel Vaddo, Gauvaddi, Anjuna, Near Double Tree Hilton Hotel, Bardez, Goa 403509, India",3.6,1923,ChIJMS8RWSXqvzsRD_BatlAomOk,"tourist_attraction, amusement_park, point_of_interest, establishment,waterpark",Bardez (Mapusa),15.579003,73.758791,,
San Thome Museum Back in Time,"Dabolim - Cavelossim Rd, Chadwado, Varca, Goa 403721, India",4,634,ChIJydtqTn-zvzsRWQIc9YRezQ8,"museum, tourist_attraction, point_of_interest, establishment",Salcete (Margao),15.2398339,73.941495,,
Houses of Goa Museum,"House No, 674, Torda, near Nisha's Play School, Alto Porvorim, Salvador du Mundu, Penha de Franc, Goa 403521, India",4.2,3706,ChIJAxaYkwrAvzsRMoGzIYj2STg,"museum, cafe, tourist_attraction, book_store, point_of_interest, food, store, establishment",Tiswadi (Panaji),15.5303209,73.8406749,,
Sinquerim Beach,"FQX8+MXF, Sinquerim, Candolim, Goa 403519, India",4.6,481,ChIJM5xmqdrBvzsR0UQsbvbKJDA,"tourist_attraction, point_of_interest, establishment,beach",Bardez (Mapusa),15.4991764,73.7674326,,
Azad Maidan,"GR2G+2FW, MG Road, near Head Quarters, Opposite Azad Maidan, Ozari, Panaji, Goa 403001, India",4.2,1824,ChIJf9whPInAvzsR6nE1kxWvW1Y,"tourist_attraction, park, point_of_interest, establishment,viewpoint,historical",Tiswadi (Panaji),15.500124,73.8261919,,
Bondla Wildlife Sanctuary,"C4R4+2HR, Usgao-Ganjem VP, Goa 403406, India",4,3408,ChIJ1TJ8b1akvzsRjgW-y7x27sQ,"zoo, tourist_attraction, point_of_interest, establishment,nature,wildlife",Dharbandora,15.4401104,74.1063776,,
"St. Cajetan Church, Goa","GW48+62M, Old Goa, Goa 403402, India",4.6,860,ChIJPzptf4u-vzsRYl7FhM9LGJc,"tourist_attraction, church, place_of_worship, point_of_interest, establishment",Salcete (Margao),15.5055969,73.9150423,,
Sadolxem Bridge,"48, MDR48, Delem Village, Canacona, Poingunin, Goa 403702, India",4.5,990,ChIJucl85utavjsRx0zsCYQOJGo,"tourist_attraction, point_of_interest, establishment,viewpoint",Canacona,14.9944081,74.0582379,,
Capela de Santa Catarina de Alexandria,"GW36+953, Old Goa, Goa 403402, India",4.3,178,ChIJNcH7EPO-vzsRl1RKlSloJoI,"tourist_attraction, church, place_of_worship, point_of_interest, establishment,historical,religious",Salcete (Margao),15.503375,73.910435,,
,,,,,,,,,,
,,,,,,,,,,
Goosebumps Virtual Escape,"first floor, 516/2, Calangute - Baga Rd, Arpora, Baga, Goa 403509, India",4.9,2106,ChIJ92vg_37rvzsRdvBfxHb-CS0,"tourist_attraction, amusement_park, point_of_interest, store, establishment",Tiswadi (Panaji),15.5692012,73.7578682,,
,,,,,,,,,,
Baga Beach,"Tito's Ln, Baga, Calangute, Goa 403516, India",4.5,41273,ChIJwwC70xzqvzsRwtCdkhYXhE0,"point_of_interest, establishment,beach,nightlife",Bardez (Mapusa),15.5581911,73.7506843,,
Offbeat Goa Space,"Offbeat Goa Space Chinvar, opp. Hacienda de Goa, Anjuna, Vagator, Goa 403509, India",4.4,10,ChIJh1ASFmzrvzsR62kuwi21yn4,"store, point_of_interest, establishment,nightlife",Bardez (Mapusa),15.5930548,73.7520836,,
