name,address,rating,user_ratings_total,place_id,types,taluka,latitude,longitude,Unnamed: 9,Unnamed: 10,categories
Vaddem Lake and Park,"9RXH+W63, Vaddem, Vasco Da Gama, Goa 403802, India",3.9,77.0,ChIJt9Ons5HHvzsRlLB5ydLBWxM,"park, point_of_interest, establishment",Mormugao (Vasco),15.3997582,73.8280506,,,['nature']
Nanora waterfall,"JWV7+77X, Latambarcem, Goa 403503, India",3.9,63.0,ChIJBe3VOXGVvzsRkoTr1nkFIYk,"tourist_attraction, point_of_interest, establishment",Bicholim,15.6432342,73.9132345,,,"['nature', 'nightlife']"
Tiger Waterfall,"75FM+96, Dudal, Goa 403704, India",3.9,8.0,ChIJ-2LnZACrvzsRL-L7iYn3oAU,"tourist_attraction, point_of_interest, establishment, waterfall, trekking, peaceful, adventure, wildlife exploration",Sanguem,15.2734367,74.1831127,,,"['adventure', 'nature', 'peaceful']"
Dr. Salim Ali Bird Sanctuary,"GV7C+657, Ilhas, Madel, Ribandar, Goa 403102, India",3.8,3949.0,ChIJYU0mP3W_vzsReXl288rhJ9M,"tourist_attraction, park, point_of_interest, establishment, bird sanctuary, bird watching, scenic, photography, boating, peaceful",Tiswadi (Panaji),15.5130468,73.8704154,,,"['nature', 'peaceful', 'photography', 'scenic']"
Mystic Woods,"C2G6+Q47, Ponda, Pisgal, Priol, Goa 403404, India",3.8,608.0,ChIJI2vEMie7vzsRj6GD15iAWac,"tourist_attraction, museum, park, point_of_interest, establishment,nature",Ponda,15.4295587,74.0124491,,,"['historical', 'nature']"
Padi Waterfall,"32QH+MCR, Khede, Goa 403703, India",3.8,242.0,ChIJ7RTi_T5PvjsR9iI0nYgw074,"park, point_of_interest, establishment",Canacona,15.0892446,74.0285175,,,['nature']
Mogacho Waterfall,"MQMJ+HGH, Parse, Goa 403512, India",3.8,184.0,ChIJr7iHw8PtvzsRBukm7_S2rrE,"tourist_attraction, point_of_interest, establishment",Pernem,15.6839395,73.7813684,,,['nature']
MUNICIPAL PARK,"9RX7+384, Swatantra Path, Vaddem, Mormugao, Vasco Da Gama, Goa 403802, India",3.8,131.0,ChIJF2rbb7zHvzsRRK50NrNIQWs,"park, point_of_interest, establishment",Mormugao (Vasco),15.3976309,73.8133397,,,['nature']
Dragon Waterfall Ambaulim,"Ambavali, Talewada, Goa 403705, India",3.8,100.0,ChIJ7YL7gEutvzsRKDVO4piFCOY,"park, point_of_interest, establishment",Sanguem,15.2107335,74.0429012,,,['nature']
MotiDongor Hill,"7XJ8+8PG, Monte Hill, Madgaon, Goa 403601, India",3.8,44.0,ChIJq6qq6tuzvzsRtScDDgv23vw,"park, point_of_interest, establishment",Salcete (Margao),15.2808001,73.9668408,,,['nature']
Mountain Top Ambe Forest Checkpost,"3578+7PG, Unnamed Road, Mangal, Goa 403704, India",3.8,12.0,ChIJUyqTjzRXvjsRStsomulWLSs,"tourist_attraction, point_of_interest, establishment",Sanguem,15.0631936,74.1668166,,,['nature']
Chatrapati Shivaji Maharaj Park Valpoi.,"G4HP+X94, Massorde, Goa 403506, India",3.8,5.0,ChIJN4o807OhvzsRRlmeXNfnCTA,"park, point_of_interest, establishment",Sattari (Valpoi),15.5298909,74.1359564,,,['nature']
Aga Khan Children's Park,"7XF5+P48, Pajifond, Madgaon, Goa 403601, India",3.7,2634.0,ChIJR088NuizvzsRD0RGysUFDx4,"park, point_of_interest, establishment",Salcete (Margao),15.2742891,73.9578409,,,['nature']
Kesarval Spring Verna Waterfall,"9WJH+WGF, Quelossim, Goa 403722, India",3.7,2166.0,ChIJ59FcxPu5vzsRa3eXw7AkQaw,"tourist_attraction, park, point_of_interest, establishment,waterfall,nature",Salcete (Margao),15.3823119,73.928801,,,['nature']
Chimbel Waterfall,"FVHF+H9M, Tiswadi, Mersi Tem, Goa 403006, India",3.7,148.0,ChIJk81BkDu_vzsR4AgJhOdyo_M,"park, point_of_interest, establishment",Salcete (Margao),15.478956,73.87342,,,['nature']
Verna Waterfalls,"STPI Building, Verna Industrial Estate, Verna, Nagve, Goa 403722, India",3.7,91.0,ChIJOyOe_Mq3vzsR67IrNf9TJ18,"park, point_of_interest, establishment, waterfall, scenic, relaxation",Salcete (Margao),15.3650513,73.9304433,,,"['nature', 'relaxation', 'scenic']"
Koni Kade Artificial Waterfall,"MXC8+HFH, Koni Kade ,Kharpal, Kasai",3.7,41.0,ChIJiTSH7ByRvzsR-yXq5MPVls8,"tourist_attraction, point_of_interest, establishment",Pernem,15.6714474,73.9662376,,,['nature']
Vasco Garden,"9RX7+47W, Vaddem, Vasco Da Gama, Goa 403802, India",3.7,23.0,ChIJ45oacLzHvzsR73AnGc6d-kY,"park, point_of_interest, establishment",Mormugao (Vasco),15.39786,73.8131899,,,['nature']
Splashdown Waterpark,"Calangute-Anjuna Main Road, Padre Agnel Vaddo, Gauvaddi, Anjuna, Near Double Tree Hilton Hotel, Bardez, Goa 403509, India",3.6,1923.0,ChIJMS8RWSXqvzsRD_BatlAomOk,"tourist_attraction, amusement_park, point_of_interest, establishment,waterpark",Bardez (Mapusa),15.579003,73.758791,,,"['nature', 'nightlife']"
Nagesh Water World,"road, near Pascol farm, opposite Nestle factory, Ponda, Tisk, Khandepar, Goa 403406, India",3.6,1120.0,ChIJCR5nGxelvzsRHCjJA0c6jnA,"tourist_attraction, amusement_park, point_of_interest, establishment",Ponda,15.4173318,74.0589388,,,['nature']
Bicholim Municipal Park 2,"HWWW+RJC, Bhaili Peth, Sudha Colony, Borden, Dicholi, Goa 403504, India",3.6,152.0,ChIJH0M8PHuWvzsRSQDMUCC-zU0,"park, point_of_interest, establishment",Bicholim,15.597054,73.946528,,,['nature']
Sahakar Spice Plantation Curti Ponda Road Goa,"C25F+GMX, Curti, Ponda, Goa 403401, India",3.6,89.0,ChIJIfrd1cu6vzsRPtyAgtAnIVY,"food, store, point_of_interest, establishment",Ponda,15.4088522,74.02423,,,"['food', 'nature', 'shopping']"
Children's Park,"9RXH+5RG, Vaddem, Vasco Da Gama, Goa 403802, India",3.6,86.0,ChIJXS2y5ZHHvzsRCZxv0uNfNSQ,"park, point_of_interest, establishment",Mormugao (Vasco),15.3979421,73.8295721,,,['nature']
