name,address,rating,user_ratings_total,place_id,types,taluka,latitude,longitude,Unnamed: 9,Unnamed: 10,categories
Cabo de Rama Fort,"3WQC+GJ8, Taluka Cabo da Rama, Canacona, Goa 403702, India",4.4,15290.0,ChIJy1w3MFFJvjsRW9cTbAchLdw,"tourist_attraction, point_of_interest, establishment,fort,historical",Canacona,15.0887849,73.9215933,,,"['fort', 'historical']"
Vagator Beach,"Vagator Beach, Anjuna, Goa, India",4.4,12983.0,ChIJrwFB_W7pvzsRAxuEMqa-5x8,"natural_feature, establishment",Bardez (Mapusa),15.6029835,73.733627,,,['beaches']
Archaeological Survey of India,"GW36+79H, Old Goa, Goa 403402, India",4.4,11103.0,ChIJk8ZOOfO-vzsRKrPdHNmlgSE,"museum, point_of_interest, establishment",Salcete (Margao),15.5031845,73.9109878,,,['historical']
The Southern Deck - Beach Bar & Bistro,"Near, Beach, Benaulim, Goa 403708, India",4.4,7079.0,ChIJjwB9emy0vzsRLgJZtqxrAEk,"restaurant, bar, point_of_interest, food, establishment",Salcete (Margao),15.2582826,73.9191702,,,"['beaches', 'food', 'nightlife']"
Beleza By The Beach,"Beach, Thondwaddo, Colva, Betalbatim, Goa 403713, India",4.4,5467.0,ChIJxx0huJi2vzsRCCzSzaoBTR4,"lodging, point_of_interest, establishment",Salcete (Margao),15.2908882,73.9117496,,,['beaches']
Bogmalo Beach,"Bogmalo Beach, Bogmalo, Goa 403806, India",4.4,2435.0,ChIJWw10cf3HvzsRnMktzbQW5J0,"natural_feature, establishment",Mormugao (Vasco),15.3698038,73.8336358,,,['beaches']
Chhatrapati Shivaji Maharaj Fort छत्रपती शिवाजीचो किल्लो,"CX7Q+3MV, Donshiwado, Bandoda, Bandiwada, Goa 403401, India",4.4,1652.0,ChIJnVBfyvC6vzsRA1Clf2FdZ5E,"tourist_attraction, point_of_interest, establishment",Ponda,15.4127367,73.9891712,,,"['fort', 'historical']"
C’ Roque Beach Resort,"near Kentuckee Seafood Restaurant, Colva, Sernabatim, Goa 403708, India",4.4,1570.0,ChIJgS3f5Ba0vzsR2iJDWESF0fw,"lodging, point_of_interest, establishment",Salcete (Margao),15.2693915,73.9160508,,,"['beaches', 'food']"
Thalassa Beach Boutique Resort,"251/4 Village Mandrem, Taluka, Pernem, Ashvem, Goa 403512, India",4.4,1181.0,ChIJ35vRwdrvvzsRO2pDE6PEySM,"lodging, restaurant, food, point_of_interest, establishment",Pernem,15.6416115,73.7192854,,,"['beaches', 'food']"
Trinity Beach,"Trinity Beach, Benaulim, Goa 403716, India",4.4,1157.0,ChIJwZH0d2W0vzsRQLIaNRHudPU,"natural_feature, establishment",Salcete (Margao),15.2497911,73.9213693,,,['beaches']
